Employee_Name,Employee_EmailID
Hamish Murray,hamish.murray@acme.com
Layla Graham,layla.graham@acme.com
Matthew King,matthew.king@acme.com
Benjamin Collins,benjamin.collins@acme.com
Isabella Scott,isabella.scott@acme.com
Charlie Ross,charlie.ross@acme.com
Hamish Murray2,hamish.murray2.sr@acme.com
Piper Stewart,piper.stewart@acme.com
Spencer Allen,spencer.allen@acme.com
Charlie Wright,charlie.wright@acme.com
Hamish Murray3,hamish.murray3.jr@acme.com
Charlie Ross2,charlie.ross2.jr@acme.com
Ethan Murray,ethan.murray@acme.com
Matthew King2,matthew.king2.jr@acme.com
Mark Lawrence,mark.lawrence@acme.com
